iter	RMSE
257	2.209593856
258	2.20864831
259	2.208145725
260	2.207163356
261	2.206695403
262	2.205791304
263	2.204650492
264	2.204194444
265	2.203174098
266	2.20209687
267	2.201719267
268	2.201130024
269	2.20046971
270	2.199483713
271	2.199052329
272	2.198522283
273	2.198037944
274	2.197558273
275	2.197161264
276	2.195836265
277	2.194684216
278	2.194098901
279	2.19341917
280	2.192895953
281	2.191997719
282	2.191339962
283	2.190876528
284	2.190469112
285	2.189469836
286	2.188439216
287	2.187651238
288	2.187517271
289	2.18673245
290	2.185916254
291	2.184900866
292	2.184274318
293	2.183717955
294	2.182795893
295	2.182502553
296	2.181883453
297	2.181070813
298	2.180033126
299	2.178512731
300	2.178236696
301	2.177337337
302	2.176704846
303	2.175499443
304	2.175223666
305	2.174399296
306	2.17409547
307	2.17325214
308	2.17252213
309	2.171504057
310	2.170912157
311	2.170101338
312	2.168940376
313	2.168092936
314	2.167543116
315	2.167057873
316	2.166352624
317	2.165787719
318	2.165451383
319	2.165198244
320	2.164331304
321	2.163760077
322	2.163044486
323	2.162213855
324	2.162106703
325	2.161237942
326	2.160862158
327	2.160105289
328	2.159399182
329	2.1584787
330	2.157724641
331	2.157312071
332	2.156358415
333	2.155463805
334	2.154643819
335	2.153588296
336	2.152664948
337	2.151684506
338	2.151393152
339	2.150832632
340	2.150064543
341	2.14926882
342	2.148113384
343	2.147573087
344	2.146968423
345	2.146101489
346	2.145463814
347	2.145218398
348	2.144799631
349	2.143663427
350	2.14286382
351	2.14208324
352	2.141411965
353	2.140557107
354	2.140075928
355	2.139561763
356	2.138742034
357	2.137907206
358	2.136878373
359	2.136179849
360	2.135021604
361	2.134190473
362	2.133506939
363	2.133117843
364	2.132144892
365	2.131487508
366	2.130984936
367	2.130075297
368	2.129644214
369	2.128167994
370	2.12729807
371	2.127097696
372	2.126533482
373	2.125864965
374	2.124993893
375	2.124188607
376	2.12362956
377	2.122882066
378	2.12213664
379	2.121501982
380	2.120414626
381	2.11993894
382	2.119263679
383	2.118787262
384	2.118219984
385	2.117702879
386	2.116793224
387	2.115795822
388	2.114909385
389	2.11411004
390	2.113476826
391	2.112735899
392	2.111866522
393	2.111011068
394	2.110302802
395	2.109809977
396	2.109206253
397	2.10848421
398	2.107892799
399	2.107046581
400	2.106699955
401	2.106531622
402	2.106296246
403	2.105869676
404	2.104837408
405	2.104066144
406	2.103563318
407	2.102678752
408	2.10213886
409	2.102027653
410	2.101342596
411	2.100781094
412	2.100297567
413	2.099799428
414	2.099648499
415	2.099066193
416	2.098020589
417	2.097541783
418	2.096982503
419	2.096386022
420	2.096066784
421	2.095777538
422	2.09507537
423	2.094416553
424	2.093494598
425	2.092952199
426	2.091846417
427	2.091430582
428	2.090887857
429	2.090366786
430	2.090075549
431	2.089336987
432	2.088775224
433	2.088152468
434	2.087758531
435	2.087687577
436	2.087076697
437	2.086968669
438	2.086239566
439	2.085260315
440	2.085029987
441	2.084535155
442	2.083391693
443	2.082643533
444	2.08217011
445	2.081544455
446	2.08065698
447	2.079830121
448	2.079463427
449	2.078865497
450	2.078517964
451	2.078031189
452	2.077397664
453	2.077065877
454	2.076506481
455	2.075700929
456	2.074787618
457	2.073771118
458	2.07296974
459	2.072040965
460	2.071620313
461	2.070948923
462	2.070281365
463	2.070037282
464	2.069790817
465	2.069504245
466	2.068729259
467	2.068021536
468	2.067167313
469	2.066622653
470	2.065893744
471	2.065278478
472	2.064507586
473	2.064434352
474	2.06416591
475	2.063924616
476	2.063863971
477	2.063521874
478	2.062885432
479	2.061960083
480	2.061399907
481	2.060338276
482	2.059670504
483	2.059249801
484	2.058949289
485	2.058876835
486	2.05799783
487	2.05680577
488	2.055987531
489	2.055201179
490	2.054713113
491	2.05465974
492	2.054500635
493	2.053421199
494	2.053099339
495	2.052491021
496	2.052067971
497	2.051688369
498	2.051039228
499	2.05011354
500	2.049779142
501	2.048960593
502	2.048585662
503	2.0478671
504	2.047180673
505	2.046647293
506	2.046197919
507	2.045626368
508	2.045351957
509	2.044799409
510	2.044540849
511	2.044085029
512	2.043823335
513	2.042951747
514	2.042841877
515	2.041914132
516	2.041641036
517	2.041150718
518	2.040465757
519	2.040037831
520	2.039574147
521	2.038703099
522	2.038185612
523	2.03723839
524	2.0362289
525	2.035615739
526	2.035159964
527	2.034732714
528	2.03420675
529	2.033802906
530	2.033203153
531	2.032397316
532	2.03165204
533	2.030908069
534	2.029986928
535	2.029515279
536	2.029417141
537	2.02886048
538	2.028426667
539	2.028379357
540	2.027465142
541	2.026835522
542	2.025972719
543	2.025321337
544	2.025051726
545	2.024250394
546	2.023709429
547	2.023397608
548	2.023308292
549	2.023009252
550	2.022527648
551	2.022251153
552	2.021642635
553	2.020508325
554	2.019982423
555	2.019490738
556	2.019062304
557	2.018202097
558	2.017762164
559	2.017122011
560	2.016626482
561	2.015750074
562	2.015692719
563	2.015074503
564	2.014461071
565	2.013729109
566	2.013474054
567	2.012750168
568	2.012012633
569	2.011523867
570	2.011066602
571	2.011017482
572	2.010426921
573	2.009807541
574	2.009280574
575	2.008464512
576	2.008390952
577	2.00818815
578	2.007286064
579	2.00720793
580	2.006696028
581	2.006363024
582	2.005453897
583	2.004762675
584	2.004579673
585	2.004184853
586	2.003692205
587	2.003247121
588	2.002803241
589	2.002601634
590	2.001915576
591	2.001581433
592	2.000756498
593	2.000449997
594	2.00000133
595	1.999365192
596	1.998696283
597	1.997809212
598	1.997292698
599	1.996740487
600	1.995939705
601	1.99502411
602	1.9941156
603	1.993845787
604	1.993180828
605	1.992627685
606	1.991576529
607	1.991135113
608	1.990857011
609	1.990339032
610	1.989977533
611	1.989564042
612	1.989206577
613	1.988729582
614	1.988344456
615	1.987906009
616	1.987642665
617	1.987592754
618	1.986897373
619	1.986291438
620	1.98574043
621	1.985331899
622	1.984704203
623	1.984196411
624	1.983572788
625	1.983123603
626	1.982710333
627	1.982230184
628	1.981814457
629	1.981472423
630	1.98079824
631	1.9801721
632	1.97941747
633	1.979143608
634	1.978591154
635	1.978497914
636	1.978292222
637	1.977709392
638	1.977223162
639	1.976423644
640	1.97603517
641	1.975558756
642	1.975077401
643	1.974844908
644	1.974254128
645	1.974025833
646	1.97377022
647	1.973641196
648	1.97318178
649	1.972791143
650	1.972637859
651	1.971864928
652	1.971308853
653	1.971045096
654	1.970566948
655	1.970486402
656	1.970044217
657	1.969542687
658	1.968892393
659	1.968517866
660	1.968058995
661	1.967615847
662	1.967116995
663	1.966775723
664	1.966371913
665	1.965668583
666	1.965041865
667	1.964460589
668	1.96392176
669	1.963246613
670	1.962902258
671	1.962620515
672	1.962042462
673	1.961484571
674	1.961061171
675	1.9605304
676	1.960459312
677	1.95995752
678	1.959444188
679	1.959365036
680	1.958804428
681	1.958089646
682	1.957656169
683	1.956793119
684	1.956332103
685	1.95569656
686	1.955236507
687	1.954816429
688	1.954580047
689	1.953907764
690	1.953265831
691	1.952638943
692	1.952472974
693	1.952121832
694	1.951639531
695	1.950771359
696	1.950735323
697	1.950186247
698	1.949144167
699	1.949110536
700	1.949020324
701	1.948532098
702	1.948081712
703	1.947653231
704	1.947480162
705	1.946822544
706	1.945971393
707	1.945580415
708	1.944942836
709	1.944607261
710	1.943968688
711	1.943593286
712	1.942962907
713	1.942549773
714	1.942041776
715	1.941492439
716	1.941095852
717	1.940686524
718	1.940208962
719	1.939695969
720	1.939468788
721	1.938961667
722	1.938584185
723	1.938549133
724	1.938142423
725	1.937713323
726	1.937417747
727	1.936842683
728	1.936459711
729	1.936318104
730	1.935929522
731	1.935688119
732	1.935102966
733	1.934719039
734	1.933725357
735	1.933359457
736	1.932999552
737	1.932970181
738	1.932330852
739	1.932027392
740	1.931487962
741	1.930963097
742	1.930714618
743	1.930390681
744	1.930233702
745	1.92967498
746	1.929377619
747	1.929061306
748	1.928607548
749	1.928215142
750	1.927727361
751	1.927134609
752	1.926878541
753	1.926324113
754	1.925838143
755	1.925674686
756	1.925579401
757	1.92467939
758	1.924052148
759	1.923547695
760	1.92259923
761	1.922244299
762	1.921993285
763	1.9218892
764	1.921862799
765	1.921244463
766	1.920837881
767	1.920633948
768	1.920178726
769	1.919778934
770	1.919621826
771	1.919343396
772	1.918726967
773	1.918377389
774	1.917943388
775	1.917460075
776	1.917193521
777	1.917005742
778	1.916597578
779	1.916334686
780	1.915886567
781	1.91520141
782	1.915023818
783	1.914523896
784	1.914058631
785	1.913472731
786	1.913254552
787	1.912697727
788	1.912001084
789	1.911976437
790	1.911347564
791	1.911115797
792	1.910840675
793	1.910479098
794	1.910109697
795	1.910017223
796	1.909230793
797	1.908830102
798	1.908540727
799	1.908208528
800	1.908031144
801	1.907441041
802	1.90726354
803	1.906796072
804	1.906284253
805	1.90557872
806	1.905124952
807	1.905070599
808	1.904453887
809	1.903818402
810	1.903498237
811	1.903104465
812	1.902995855
813	1.902193124
814	1.901470124
815	1.900784955
816	1.900431346
817	1.900166438
818	1.899968099
819	1.899445267
820	1.899364233
821	1.899119951
822	1.898428556
823	1.898399366
824	1.897953145
825	1.897358052
826	1.896688959
827	1.896212699
828	1.895476491
829	1.895413386
830	1.89482418
831	1.89448412
832	1.894109812
833	1.893490864
834	1.893067833
835	1.89258066
836	1.892208823
837	1.892171429
838	1.891759424
839	1.890977341
840	1.890729081
841	1.890140015
842	1.889836933
843	1.889090849
844	1.888748339
845	1.888214941
846	1.888176394
847	1.887836194
848	1.887774113
849	1.887342432
850	1.886722232
851	1.886382537
852	1.886029344
853	1.885647055
854	1.884942032
855	1.88455214
856	1.884149547
857	1.883939792
858	1.883814486
859	1.883000411
860	1.882399226
861	1.882063258
862	1.881922596
863	1.881419205
864	1.88085648
865	1.880363203
866	1.880024281
867	1.879692963
868	1.879560345
869	1.879346584
870	1.879159655
871	1.878564938
872	1.878216039
873	1.877683499
874	1.877636587
875	1.877446112
876	1.877150044
877	1.876459374
878	1.876388349
879	1.875861752
880	1.875095126
881	1.874660101
882	1.874262719
883	1.873763698
884	1.873069771
885	1.872661355
886	1.872477066
887	1.87216829
888	1.871557714
889	1.871452514
890	1.871340461
891	1.870831863
892	1.870311105
893	1.870102008
894	1.86973008
895	1.869236177
896	1.868805761
897	1.868530784
898	1.867888618
899	1.867231902
900	1.866715846
901	1.866104557
902	1.865664942
903	1.86516207
904	1.864927691
905	1.864905975
906	1.864193559
907	1.863710912
908	1.863362512
909	1.862775361
910	1.86234106
911	1.861721691
912	1.860942754
913	1.860563447
914	1.860095363
915	1.859610249
916	1.85935147
917	1.858606121
918	1.85828323
919	1.858061597
920	1.857810712
921	1.857419255
922	1.856867141
923	1.856726363
924	1.856436828
925	1.856316403
926	1.855975697
927	1.855418206
928	1.855234712
929	1.854784898
930	1.854138875
931	1.853714036
932	1.853433459
933	1.853271954
934	1.85244488
935	1.852142565
936	1.85155897
937	1.850889689
938	1.850570628
939	1.850287053
940	1.849803967
941	1.849400204
942	1.849224022
943	1.848669887
944	1.848288347
945	1.848006011
946	1.847653773
947	1.84693745
948	1.846411393
949	1.845726413
950	1.84536018
951	1.845084432
952	1.844969609
953	1.844722551
954	1.844254128
955	1.84399433
956	1.843447427
957	1.842984693
958	1.842482934
959	1.842159675
960	1.841736477
961	1.841714267
962	1.841077313
963	1.840467186
964	1.840160444
965	1.840120945
966	1.839323461
967	1.838817383
968	1.838735321
969	1.838427419
970	1.838033004
971	1.837400821
972	1.837324844
973	1.836578456
974	1.835826297
975	1.835513659
976	1.835226158
977	1.835029599
978	1.834970701
979	1.834627434
980	1.834499187
981	1.833907737
982	1.83387943
983	1.833564047
984	1.833329119
985	1.832845327
986	1.832643672
987	1.832186078
988	1.831876478
989	1.831411222
990	1.831110396
991	1.83081165
992	1.830453307
993	1.830060941
994	1.829790583
995	1.82916195
996	1.828692623
997	1.828388554
998	1.827644795
999	1.827486076
