,final_r2,num_features,search_peak_r2
RandomForest,0.7124469184295725,49,0.7124469184295725
LightGBM,0.7116296149118152,8,0.7116296149118152
CatBoost,0.7106946548540317,5,0.7106946548540317
XGBoost,0.66531255471594,7,0.66531255471594
