,importance_mean,importance_std
temp_lag_1,0.39378454007178487,0.0
fourier_cos_1,0.11039029673387324,0.0
temp_lag_2,0.02767127545076853,0.0
temp_rolling_mean_7,0.020258794652461054,0.0
temp_rolling_std_90,0.011026860377410075,0.0
temp_lag_7,0.00853053104837509,0.0
fourier_sin_1,0.004555237686861058,0.0
temp_lag_365,0.0023686429075245874,0.0
temp_rolling_mean_14,0.002021814782792508,0.0
temp_lag_14,0.0016034229125093669,0.0
temp_rolling_mean_90,0.0011391587507557643,0.0
temp_rolling_mean_30,0.00017357653045235732,0.0
temp_rolling_std_14,4.506502776313592e-05,0.0
year,-0.0006495760309387366,0.0
temp_rolling_std_180,-0.0009589997870159683,0.0
temp_rolling_std_7,-0.0011028556911394372,0.0
temp_lag_30,-0.0014196702142138529,0.0
temp_rolling_mean_180,-0.002816812191931417,0.0
temp_rolling_std_30,-0.004078252053763554,0.0
temp_lag_3,-0.005826762804776009,0.0
