,importance_mean,importance_std
temp_lag_1,0.46673544165190695,0.0
temp_lag_1_x_month,0.03670759590921713,0.0
temp_rolling_mean_30,0.027111502902429363,0.0
temp_rolling_mean_7,0.01693680853089119,0.0
temp_rolling_mean_14,0.010836162595634358,0.0
temp_lag_2_x_month,0.008871371450829502,0.0
temp_rolling_mean_30_x_month,0.008202653749812328,0.0
temp_lag_1_x_dayofweek,0.004292358459881518,0.0
temp_lag_7_x_month,0.003815448210366723,0.0
temp_rolling_std_30,0.0036063319020684936,0.0
temp_rolling_std_14,0.0035913317154433466,0.0
month,0.0031955116597515154,0.0
year,0.001721987223598287,0.0
temp_lag_2,0.0015149746578609902,0.0
temp_lag_14_x_dayofweek,0.0011023806722629814,0.0
temp_rolling_std_7,0.0009689716358043388,0.0
dayofweek,0.00023692654015383674,0.0
day,-0.00019377945536869223,0.0
temp_lag_14,-0.0008057349285583992,0.0
temp_lag_3_x_month,-0.0008203982961301204,0.0
temp_rolling_mean_7_x_dayofweek,-0.0010766539918558582,0.0
temp_rolling_std_14_x_month,-0.0012075538767075678,0.0
temp_rolling_std_30_x_dayofweek,-0.0012767821764977372,0.0
temp_lag_14_x_month,-0.0016221128525326645,0.0
temp_lag_3,-0.00235478390262589,0.0
temp_lag_7,-0.0037017005647437262,0.0
