,importance_mean,importance_std
temp_lag_1_x_temp_rolling_mean_30,0.28695715590711124,0.0
temp_lag_1,0.21640070188030647,0.0
month,0.04500648629648574,0.0
temp_lag_3,0.007727916593304185,0.0
temp_rolling_mean_7,0.007628999084239307,0.0
temp_lag_2,0.006987386665546991,0.0
temp_rolling_mean_60,0.006496635206400647,0.0
temp_rolling_mean_90,0.006424424021150954,0.0
temp_lag_90,0.006381241540252991,0.0
temp_lag_365,0.004840907862832644,0.0
temp_rolling_mean_30,0.004220106189806838,0.0
temp_rolling_std_14,0.0037261756091701015,0.0
temp_lag_14,0.002975861187666906,0.0
temp_lag_2_x_temp_rolling_std_7,0.0011831363441026088,0.0
year,0.0003911982841099393,0.0
temp_rolling_mean_14,-0.0003922017504363051,0.0
temp_lag_1_x_temp_rolling_std_30,-0.0014309780499726088,0.0
dayofweek,-0.0014689782255348227,0.0
day,-0.0022361743871457396,0.0
temp_rolling_std_7,-0.0025499466845249064,0.0
temp_rolling_std_30,-0.003262453388225617,0.0
temp_lag_7,-0.007231293744620171,0.0
