,importance_mean,importance_std
temp_lag_1,0.6410525391883344,0.0
month,0.06496973328026456,0.0
temp_lag_2_x_month,0.015573493892692247,0.0
temp_lag_2,0.014316007572419354,0.0
temp_lag_3,0.005134648670550801,0.0
temp_lag_1_x_month,0.0037704529050175406,0.0
temp_lag_2_x_dayofweek,0.001530947995258547,0.0
day,0.00019410081903670218,0.0
dayofweek,-0.00020075502540850554,0.0
temp_lag_1_x_dayofweek,-0.0012127022978744018,0.0
temp_lag_7,-0.002935767884978624,0.0
year,-0.0030119699053805515,0.0
temp_lag_14,-0.006931608707826498,0.0
