,importance_mean,importance_std
temp_lag_1,0.5753600871152759,0.0
weekofyear,0.04238476695357718,0.0
temp_lag_2,0.019704017741601576,0.0
temp_rolling_min_14,0.010889920369286155,0.0
temp_rolling_max_30,0.010394507785538853,0.0
temp_rolling_mean_7,0.007636543702479903,0.0
month,0.005700820198614509,0.0
day,0.003210367401797254,0.0
year,0.0031246879038137054,0.0
temp_rolling_std_30,0.0023732484093687,0.0
dayofweek,0.0010781318038103338,0.0
temp_rolling_mean_14,0.0004514144841764045,0.0
temp_lag_14,0.00036249015762057635,0.0
temp_rolling_std_7,-0.0008254780576587573,0.0
temp_rolling_min_30,-0.0008972077395789091,0.0
temp_rolling_mean_30,-0.001102698262742785,0.0
temp_lag_3,-0.0017692107349168706,0.0
temp_rolling_max_7,-0.002436372122883723,0.0
temp_rolling_min_7,-0.002949535108622059,0.0
temp_rolling_max_14,-0.003420724244831752,0.0
temp_rolling_std_14,-0.004299388149611727,0.0
temp_lag_7,-0.0054526031902188965,0.0
